1,4,6439,26,3,1,"GR1",21/2/2013
2,7,10851,59,5,4,"GR2",3/7/2011
3,6,7984,11,5,4,"GR3",5/1/2015
4,10,8676,89,2,3,"GR4",13/8/2014
5,7,8125,98,3,2,"GR5",8/11/2014
6,8,7967,31,4,4,"GR1",26/4/2011
7,5,10901,53,3,1,"GR2",10/4/2015
8,4,8098,52,2,1,"GR3",2/10/2012
9,10,2160,86,5,2,"GR4",5/11/2013
10,3,9846,27,5,1,"GR5",26/8/2011
11,4,3869,61,2,4,"GR1",18/5/2015
12,7,1409,42,4,2,"GR2",23/9/2012
13,6,10797,27,2,4,"GR3",5/5/2015
14,10,3484,93,2,2,"GR4",12/8/2012
15,7,7541,15,4,1,"GR5",26/10/2014
16,2,9606,48,5,4,"GR1",21/11/2015
17,9,9159,11,4,3,"GR2",7/6/2012
18,8,1398,23,2,3,"GR3",5/8/2015
19,8,2659,11,3,4,"GR4",6/11/2013
20,9,9923,5,4,3,"GR5",25/1/2014
21,9,10182,52,3,1,"GR1",7/9/2015
22,7,3091,7,4,3,"GR2",11/7/2015
23,5,1936,81,5,4,"GR3",11/5/2012
24,5,4799,77,4,3,"GR4",13/10/2012
25,4,4178,29,5,3,"GR5",2/3/2012
26,9,10179,37,5,4,"GR1",2/10/2015
27,6,1663,90,5,4,"GR2",27/4/2014
28,10,3432,24,4,3,"GR3",12/12/2011
29,4,7430,66,2,1,"GR4",1/4/2013
30,4,2938,27,2,4,"GR5",21/4/2013
31,6,10687,32,4,3,"GR1",27/8/2012
32,9,8221,71,4,2,"GR2",6/8/2014
33,10,9633,51,2,3,"GR3",8/3/2013
34,3,3740,14,5,4,"GR4",18/6/2011
35,3,2278,89,2,1,"GR5",5/4/2012
36,2,1180,76,2,3,"GR1",24/10/2014
37,2,5632,81,3,1,"GR2",16/5/2012
38,4,3942,47,4,2,"GR3",10/8/2013
39,4,2794,64,3,2,"GR4",6/9/2011
40,6,2571,29,3,1,"GR5",3/1/2012
41,6,1251,90,4,1,"GR1",17/10/2011
42,10,8229,68,4,2,"GR2",22/2/2014
43,6,9056,17,5,1,"GR3",9/3/2014
44,2,9033,5,2,1,"GR4",10/6/2014
45,6,1336,24,2,3,"GR5",6/2/2011
46,10,10319,91,5,3,"GR1",16/11/2014
47,8,7286,17,2,1,"GR2",14/5/2012
48,6,10746,15,3,3,"GR3",5/8/2012
49,2,10303,30,3,3,"GR4",1/4/2011
50,10,10810,3,3,1,"GR5",16/8/2013
